Instructions,Prompt,Response,text
"Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. ""،"" ""۔"" These are the punctuations that need to be added",بلکہ بے رحمی کے ساتھ وہ اس سے پوچھتی ہے کہ کیا وہ اخبار رکھ سکتا ہے اور وہ خاتون دوسرے حصے پیش کرتی ہے,بلکہ بے رحمی کے ساتھ، وہ اس سے پوچھتی ہے کہ کیا وہ اخبار رکھ سکتا ہے، اور وہ خاتون دوسرے حصے پیش کرتی ہے۔,"<s>[INST] <<SYS>>Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. '،' '۔' These are the punctuations that need to be added<</SYS>>
 بلکہ بے رحمی کے ساتھ وہ اس سے پوچھتی ہے کہ کیا وہ اخبار رکھ سکتا ہے اور وہ خاتون دوسرے حصے پیش کرتی ہے [/INST] 
Following is the correct sentence: بلکہ بے رحمی کے ساتھ، وہ اس سے پوچھتی ہے کہ کیا وہ اخبار رکھ سکتا ہے، اور وہ خاتون دوسرے حصے پیش کرتی ہے۔ </s>"
"Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. ""،"" ""۔"" These are the punctuations that need to be added",یہ پرل نوعمر حراستی مرکز میں استاد ہے جو نوجوان کے اندر ہنگامہ دیکھتا ہے اور مدد کرنا چاہتا ہے لیکن بدقسمتی سے اس کے پاس کوئی موقع نہیں ہے,یہ پرل، نوعمر حراستی مرکز میں استاد ہے جو نوجوان کے اندر ہنگامہ دیکھتا ہے اور مدد کرنا چاہتا ہے، لیکن بدقسمتی سے، اس کے پاس کوئی موقع نہیں ہے۔,"<s>[INST] <<SYS>>Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. '،' '۔' These are the punctuations that need to be added<</SYS>>
 یہ پرل نوعمر حراستی مرکز میں استاد ہے جو نوجوان کے اندر ہنگامہ دیکھتا ہے اور مدد کرنا چاہتا ہے لیکن بدقسمتی سے اس کے پاس کوئی موقع نہیں ہے [/INST] 
Following is the correct sentence: یہ پرل، نوعمر حراستی مرکز میں استاد ہے جو نوجوان کے اندر ہنگامہ دیکھتا ہے اور مدد کرنا چاہتا ہے، لیکن بدقسمتی سے، اس کے پاس کوئی موقع نہیں ہے۔ </s>"
"Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. ""،"" ""۔"" These are the punctuations that need to be added",دھندلا کیونکہ اس کتاب کی زیادہ تر ایک کولمبو فلم ہے جس میں حقیقی یادگار لمحات نہیں ہوتے ہیں پھیکا نہیں ہوتا ہے کیونکہ یہ دیکھنا ایک بورنگ فلم ہے,دھندلا کیونکہ اس کتاب کی زیادہ تر ایک کولمبو فلم ہے جس میں حقیقی یادگار لمحات نہیں ہوتے ہیں، پھیکا نہیں ہوتا ہے کیونکہ یہ دیکھنا ایک بورنگ فلم ہے۔,"<s>[INST] <<SYS>>Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. '،' '۔' These are the punctuations that need to be added<</SYS>>
 دھندلا کیونکہ اس کتاب کی زیادہ تر ایک کولمبو فلم ہے جس میں حقیقی یادگار لمحات نہیں ہوتے ہیں پھیکا نہیں ہوتا ہے کیونکہ یہ دیکھنا ایک بورنگ فلم ہے [/INST] 
Following is the correct sentence: دھندلا کیونکہ اس کتاب کی زیادہ تر ایک کولمبو فلم ہے جس میں حقیقی یادگار لمحات نہیں ہوتے ہیں، پھیکا نہیں ہوتا ہے کیونکہ یہ دیکھنا ایک بورنگ فلم ہے۔ </s>"
"Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. ""،"" ""۔"" These are the punctuations that need to be added",یہ دیکھ کر حیرت کی بات ہے کہ اس میں سے زیادہ تر اسپیلبرگ کے بعد کے کام خاص طور پر کچھ کیمرہ زاویوں کے ساتھ مطابقت رکھتا تھا,یہ دیکھ کر حیرت کی بات ہے کہ اس میں سے زیادہ تر اسپیلبرگ کے بعد کے کام، خاص طور پر کچھ کیمرہ زاویوں کے ساتھ مطابقت رکھتا تھا۔,"<s>[INST] <<SYS>>Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. '،' '۔' These are the punctuations that need to be added<</SYS>>
 یہ دیکھ کر حیرت کی بات ہے کہ اس میں سے زیادہ تر اسپیلبرگ کے بعد کے کام خاص طور پر کچھ کیمرہ زاویوں کے ساتھ مطابقت رکھتا تھا [/INST] 
Following is the correct sentence: یہ دیکھ کر حیرت کی بات ہے کہ اس میں سے زیادہ تر اسپیلبرگ کے بعد کے کام، خاص طور پر کچھ کیمرہ زاویوں کے ساتھ مطابقت رکھتا تھا۔ </s>"
"Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. ""،"" ""۔"" These are the punctuations that need to be added",آخر میں مجھے حیرت نہیں ہے ہاؤس آف موم نے آئی ایم ڈی بی ٹاپ 250 میں جگہ نہیں بنائی لیکن یہ یقینی طور پر دیکھنے کے قابل ہے,آخر میں، مجھے حیرت نہیں ہے ہاؤس آف موم نے آئی ایم ڈی بی ٹاپ 250 میں جگہ نہیں بنائی، لیکن یہ یقینی طور پر دیکھنے کے قابل ہے۔,"<s>[INST] <<SYS>>Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. '،' '۔' These are the punctuations that need to be added<</SYS>>
 آخر میں مجھے حیرت نہیں ہے ہاؤس آف موم نے آئی ایم ڈی بی ٹاپ 250 میں جگہ نہیں بنائی لیکن یہ یقینی طور پر دیکھنے کے قابل ہے [/INST] 
Following is the correct sentence: آخر میں، مجھے حیرت نہیں ہے ہاؤس آف موم نے آئی ایم ڈی بی ٹاپ 250 میں جگہ نہیں بنائی، لیکن یہ یقینی طور پر دیکھنے کے قابل ہے۔ </s>"
"Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. ""،"" ""۔"" These are the punctuations that need to be added",پہلی فلم میں اس کے پاس لوگوں کو مارنے کی ایک وجہ تھی لیکن اس سلسلے میں آدھے قتل قتل کی بنیادی وجہ بلا وجہ تھی,پہلی فلم میں، اس کے پاس لوگوں کو مارنے کی ایک وجہ تھی، لیکن اس سلسلے میں، آدھے قتل قتل کی بنیادی وجہ بلا وجہ تھی۔,"<s>[INST] <<SYS>>Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. '،' '۔' These are the punctuations that need to be added<</SYS>>
 پہلی فلم میں اس کے پاس لوگوں کو مارنے کی ایک وجہ تھی لیکن اس سلسلے میں آدھے قتل قتل کی بنیادی وجہ بلا وجہ تھی [/INST] 
Following is the correct sentence: پہلی فلم میں، اس کے پاس لوگوں کو مارنے کی ایک وجہ تھی، لیکن اس سلسلے میں، آدھے قتل قتل کی بنیادی وجہ بلا وجہ تھی۔ </s>"
"Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. ""،"" ""۔"" These are the punctuations that need to be added",میں نے سوچا کہ اداکاروں نے کچھ حد تک کوشش کی لیکن اس فلم کے ساتھ یہ اتنا لنگڑا تھا کہ صرف اتنی دور تک جاسکتی ہے,میں نے سوچا کہ اداکاروں نے کچھ حد تک کوشش کی لیکن اس فلم کے ساتھ، یہ اتنا لنگڑا تھا کہ صرف اتنی دور تک جاسکتی ہے۔,"<s>[INST] <<SYS>>Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. '،' '۔' These are the punctuations that need to be added<</SYS>>
 میں نے سوچا کہ اداکاروں نے کچھ حد تک کوشش کی لیکن اس فلم کے ساتھ یہ اتنا لنگڑا تھا کہ صرف اتنی دور تک جاسکتی ہے [/INST] 
Following is the correct sentence: میں نے سوچا کہ اداکاروں نے کچھ حد تک کوشش کی لیکن اس فلم کے ساتھ، یہ اتنا لنگڑا تھا کہ صرف اتنی دور تک جاسکتی ہے۔ </s>"
"Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. ""،"" ""۔"" These are the punctuations that need to be added",یہاں ایک اور چھوٹی سی کہانی کی معمولی لائنیں ہیں جو واقعی میں لینے سے کہیں زیادہ دلچسپ ہوسکتی ہیں لیکن ان کی پوری تلاش نہیں کی جاتی ہے,یہاں ایک اور چھوٹی سی کہانی کی معمولی لائنیں ہیں جو واقعی میں لینے سے کہیں زیادہ دلچسپ ہوسکتی ہیں، لیکن ان کی پوری تلاش نہیں کی جاتی ہے۔,"<s>[INST] <<SYS>>Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. '،' '۔' These are the punctuations that need to be added<</SYS>>
 یہاں ایک اور چھوٹی سی کہانی کی معمولی لائنیں ہیں جو واقعی میں لینے سے کہیں زیادہ دلچسپ ہوسکتی ہیں لیکن ان کی پوری تلاش نہیں کی جاتی ہے [/INST] 
Following is the correct sentence: یہاں ایک اور چھوٹی سی کہانی کی معمولی لائنیں ہیں جو واقعی میں لینے سے کہیں زیادہ دلچسپ ہوسکتی ہیں، لیکن ان کی پوری تلاش نہیں کی جاتی ہے۔ </s>"
"Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. ""،"" ""۔"" These are the punctuations that need to be added",جب ویڈیو ٹی بی ایس پر دکھائی جاتی ہے تو ویڈیو اسٹور وال مارٹ ہر منظر کے مطابق یا اتوار کی دوپہر کو اپنا وقت ضائع نہ کریں,جب ویڈیو ٹی بی ایس پر دکھائی جاتی ہے تو، ویڈیو اسٹور، وال مارٹ، ہر منظر کے مطابق، یا اتوار کی دوپہر کو اپنا وقت ضائع نہ کریں۔,"<s>[INST] <<SYS>>Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. '،' '۔' These are the punctuations that need to be added<</SYS>>
 جب ویڈیو ٹی بی ایس پر دکھائی جاتی ہے تو ویڈیو اسٹور وال مارٹ ہر منظر کے مطابق یا اتوار کی دوپہر کو اپنا وقت ضائع نہ کریں [/INST] 
Following is the correct sentence: جب ویڈیو ٹی بی ایس پر دکھائی جاتی ہے تو، ویڈیو اسٹور، وال مارٹ، ہر منظر کے مطابق، یا اتوار کی دوپہر کو اپنا وقت ضائع نہ کریں۔ </s>"
"Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. ""،"" ""۔"" These are the punctuations that need to be added",دور دراز کے جزیرے کے چڑیا گھر میں بجلی کی بندش کے سلسلے کے بعد جینیاتی طور پر انجنیئر سابرٹوتھ ٹائیگر جزیرے کے ڈھیلے اور نوکیلے رہائشیوں پر ہیں,دور دراز کے جزیرے کے چڑیا گھر میں بجلی کی بندش کے سلسلے کے بعد، جینیاتی طور پر انجنیئر سابرٹوتھ ٹائیگر جزیرے کے ڈھیلے اور نوکیلے رہائشیوں پر ہیں۔,"<s>[INST] <<SYS>>Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. '،' '۔' These are the punctuations that need to be added<</SYS>>
 دور دراز کے جزیرے کے چڑیا گھر میں بجلی کی بندش کے سلسلے کے بعد جینیاتی طور پر انجنیئر سابرٹوتھ ٹائیگر جزیرے کے ڈھیلے اور نوکیلے رہائشیوں پر ہیں [/INST] 
Following is the correct sentence: دور دراز کے جزیرے کے چڑیا گھر میں بجلی کی بندش کے سلسلے کے بعد، جینیاتی طور پر انجنیئر سابرٹوتھ ٹائیگر جزیرے کے ڈھیلے اور نوکیلے رہائشیوں پر ہیں۔ </s>"
